timestamp,memory.used,memory.total,utilization.gpu
1764189075,1, 24576, 0
1764189135,442, 24576, 0
1764189195,4846, 24576, 0
1764189255,10544, 24576, 93
1764189315,10546, 24576, 46
1764189375,10546, 24576, 56
1764189435,10546, 24576, 45
1764189495,10546, 24576, 93
1764189555,10546, 24576, 40
1764189615,10546, 24576, 57
1764189675,10586, 24576, 55
1764189735,10586, 24576, 64
1764189796,10586, 24576, 96
1764189856,10586, 24576, 79
1764189916,10586, 24576, 65
1764189976,10586, 24576, 50
1764190036,10586, 24576, 66
1764190096,10586, 24576, 46
1764190156,10586, 24576, 36
1764190216,10586, 24576, 80
1764190276,10586, 24576, 45
1764190336,10586, 24576, 30
1764190396,10586, 24576, 41
1764190456,10586, 24576, 53
1764190516,10586, 24576, 51
1764190577,10586, 24576, 53
1764190637,10586, 24576, 91
1764190697,10586, 24576, 70
1764190757,10586, 24576, 64
1764190817,10586, 24576, 56
1764190877,10586, 24576, 67
1764190937,10586, 24576, 91
1764190997,10586, 24576, 90
1764191057,10586, 24576, 87
1764191117,10586, 24576, 44
1764191177,10586, 24576, 53
1764191237,10586, 24576, 80
1764191297,10586, 24576, 27
1764191358,10586, 24576, 48
1764191418,10586, 24576, 93
1764191478,10586, 24576, 67
1764191538,10586, 24576, 90
1764191598,10586, 24576, 65
1764191658,10586, 24576, 53
1764191718,10586, 24576, 78
1764191778,10586, 24576, 51
1764191838,10586, 24576, 83
1764191898,10586, 24576, 94
1764191958,10586, 24576, 52
1764192018,10586, 24576, 54
1764192078,10586, 24576, 69
1764192139,10586, 24576, 49
1764192199,10586, 24576, 54
1764192259,10586, 24576, 56
1764192319,10586, 24576, 56
1764192379,10586, 24576, 40
1764192439,10586, 24576, 55
1764192499,10586, 24576, 46
1764192559,10586, 24576, 80
1764192619,10586, 24576, 57
1764192679,10586, 24576, 79
1764192739,10586, 24576, 43
1764192799,10586, 24576, 49
1764192860,10586, 24576, 50
1764192920,10586, 24576, 53
1764192980,10586, 24576, 45
1764193040,10586, 24576, 35
1764193100,10586, 24576, 40
1764193160,10586, 24576, 56
1764193220,10586, 24576, 26
1764193280,10586, 24576, 83
1764193340,10586, 24576, 54
1764193400,10586, 24576, 33
1764193460,10586, 24576, 81
1764193520,10586, 24576, 49
1764193581,10586, 24576, 83
1764193641,10586, 24576, 82
1764193701,10586, 24576, 61
1764193761,10586, 24576, 35
1764193821,10586, 24576, 46
1764193881,10586, 24576, 94
1764193941,10586, 24576, 53
1764194001,10586, 24576, 95
1764194061,10586, 24576, 53
1764194121,10586, 24576, 42
1764194181,10586, 24576, 51
1764194241,10586, 24576, 45
1764194301,10904, 24576, 30
1764194362,10904, 24576, 36
1764194422,10904, 24576, 59
